Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,1704.41538021505,2136.47210126331,2600.36875786979,3904.46530148983,4036.45680478876,4439.20212759739,5649.96210595541,6675.17805486958,7304.28577118881,7962.24492480061,6432.68532538494,6387.68257527254,6587.09260439788,6967.37504258806,7612.03518009452,..
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,578645800,721891500,773489700,862683600,703175800,686787800,728789600,727161000,754238000,841070000,942070000,1032452000,1022365000,1113178000,1197415000,924583000
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,20533.1890280686,24559.1447234129,25457.9765000165,27650.1153846154,22020.348855416,21029.6956335354,21839.0099187918,21345.0259782194,21715.3139665448,23778.5191258375,26183.8850440535,28241.479293178,27545.1287854295,29553.1366979053,31350.8666282662,23879.9266491038
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,21839098.8927071,22902861.4457831,27030374.0272781,30290219.7617849,27101076.2751521,31823518.6204366,38711810.2114492,37671774.6945537,37509075.1110253,37290607.5356048,35492074.2243257,36547799.583705,40619251.9926426,42588164.9731022,47271463.3298575,48855550.2030142
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,2184.56525884837,2263.57594838734,2645.10950457756,2936.52154743431,2602.61944445905,3024.76177363717,3643.1216084556,3506.30814357351,3457.37626610981,3398.3967498045,3197.77225194394,3253.89953558627,3574.06528751804,3701.70925450693,4055.89560959738,4143.10975263011
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,9239221858.55839,9977647644.69953,11902564401.3238,14440404021.4881,25019909334.6707,26558908398.0404,27752046902.446,27188667092.7781,28791625085.1143,32472362948.833,32248116472.5115,29078589751.4596,30744473839.7437,32912338571.3403,35170037380.863,37372032557.5944
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,333.731576250845,349.217100086696,403.66374462353,474.517949634028,796.530924443729,819.007465178737,828.994112767086,786.73871102727,806.611936278349,879.734948641603,843.62954532648,733.397131674337,746.830751184521,770.257060149182,794.451445432797,817.035756926923
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,86057915585.3026,107647920792.079,142579603960.396,179816790704.739,117113410001.027,136013155905.036,163159671670.265,175781379051.433,183310146378.081,133503411375.739,91030959454.6961,93355993628.5042,112190355158.178,130901858421.72,153929501862.341,155582008717.426
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,1826.93139114817,2300.76970925872,3065.61129390842,3887.24233680525,2542.99542417522,2965.13971520617,3569.75812083898,3855.41772856732,4029.71125162545,3104.64320609541,2124.6623187838,2187.73050991433,2640.67567655839,3096.81740221352,3662.56308679667,3726.92714937055
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,180617467964.602,222116541865.214,257916133424.098,315474615738.598,253547358747.447,289787338325.391,350666031313.819,374590605854.323,390107556160.654,403137100068.074,358135057862.492,357045064669.843,385605506848.196,422215043594.282,421142267937.372,..
